"";"Omrade";"Kön";"Ålder";"Sysselsättning";"Utbildningsnivå";"År";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parker...grönområden";"Mångfald.i.bostadsutbudet";"Levandegöra.gemensamma.platser";"Kommunikationer";"Kultur...fritid";"Utbildning";"Omsorg";"Skolan";"Trygghet";"Ekologisk.hållbarhet";"Motsättning.1";"Motsättning.2";"Motsättning.3"
"555";"Smedby 2";"Man";"25-34";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"Högskola/universitet";"0-4 år";9;5;10;11;7;10;12;7;6;8;8;9;6;5;10;6;11;10;9;8;9;5;8;4;7;9;8;7;12;11;9;8;10;11;5;6;9;10;4;8;10;7;15;5;12;5;3;9;14;12;6;12;8;14;7;13;10;11;9;5;10;10;9
"556";"Fresta glesbygd";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";7;7;7;7;7;6;6;8;7;7;6;6;6;6;7;8;7;7;7;7;9;8;9;8;8;8;8;8;9;9;6;7;7;7;12;14;8;8;14;8;8;8;14;7;7;8;8;8;8;9;2;2;2;2;3;3;3;3;3;3;9;7;8
"557";"Hasselgatan";"Kvinna";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";13;9;10;10;8;14;11;9;6;4;6;7;6;6;9;8;11;7;9;8;12;8;10;9;9;10;9;8;14;13;8;12;12;10;14;3;14;11;15;8;14;13;14;9;6;7;7;7;7;7;9;8;7;12;12;14;14;14;12;11;4;9;5
"558";"Brunnby-Vik";"Man";"45-54";"Egen företagare";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;9;4;10;9;11;11;8;4;4;6;8;8;10;8;9;13;8;14;14;14;14;14;14;14;0;14;14;14;14;14;14;14;14;6;7;14;14;7;8;14;14;6;6;6;8;6;9;12;14;3;5;4;5;14;14;14;14;12;3;10;5;7
"559";"Vilunda/Korpkulla";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";8;8;8;7;7;8;10;7;7;7;7;7;7;7;7;7;7;7;7;9;7;7;7;7;7;7;10;7;10;7;7;7;7;7;12;15;9;9;13;7;7;9;13;7;9;9;7;7;7;10;5;7;1;12;6;9;10;11;8;0;8;3;5
"560";"Vilunda/Korpkulla";"Man";"25-34";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;14;3;14;3;10;10;6;10;6;10;10;10;10;6;10;10;10;10;10;8;8;8;8;8;8;8;8;8;8;8;8;8;8;13;14;8;8;14;8;8;8;14;8;8;9;9;9;9;9;7;7;7;7;7;7;7;7;7;7;10;10;6
"561";"Odenslunda";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"5-9 år";10;2;11;3;12;13;10;4;0;12;1;2;6;12;11;7;1;2;14;11;9;14;8;0;2;6;5;3;10;11;5;4;3;2;13;14;9;10;5;11;8;6;10;6;13;8;6;1;5;3;4;10;4;10;7;10;5;10;5;1;5;3;3
"562";"Folkparksområdet";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";14;0;1;0;6;7;9;3;7;0;14;0;6;5;7;10;14;10;5;14;9;4;3;8;8;12;6;9;12;12;7;7;14;4;12;13;7;7;13;7;14;14;15;14;7;14;14;14;14;14;14;0;0;0;0;0;0;0;0;0;4;4;4
"563";"Runby";"Man";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";13;4;5;7;9;5;9;8;10;2;3;4;6;7;7;9;9;8;3;5;5;3;10;4;11;8;4;9;10;10;7;7;7;7;12;3;8;5;11;4;5;6;13;9;10;12;11;11;10;7;7;6;8;8;9;9;9;9;5;7;4;11;8
"564";"Carlslund/Brunnby Park";"Man";"35-44";"Pensionär";"Inte gått ut grundskola eller motsvarande obligatorisk skola";"10 år eller mer";9;7;7;7;7;8;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;10;10;10
"565";"Odenslunda";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;0;5;2;12;14;9;0;3;4;6;0;3;11;14;9;0;10;5;14;10;0;14;2;6;12;0;6;14;10;0;10;4;12;6;14;11;13;7;4;14;10;9;6;0;6;11;5;14;13;1;2;0;13;12;14;7;14;9;6;4;4;10
"566";"Vilunda/Korpkulla";"Man";"45-54";"Förvärvsarbetande (anställd)";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";7;5;10;14;14;12;14;4;9;0;4;14;9;14;14;14;14;5;11;9;7;7;7;7;7;14;4;14;14;14;11;10;14;4;12;12;13;13;14;6;14;14;6;6;12;11;11;7;7;7;7;4;7;9;8;11;14;14;14;1;4;8;8
"567";"Hasselgatan";"Man";"55-64";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"568";"Skälby";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;9;3;8;12;14;7;8;9;6;14;10;9;7;8;9;9;7;3;10;5;12;5;9;14;14;9;14;11;12;5;7;14;14;7;11;9;10;14;0;13;7;7;13;10;14;2;4;6;6;8;14;6;14;7;6;5;3;8
"569";"Smedby 2";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;8;6;9;8;10;9;8;6;6;8;5;8;8;9;8;10;8;10;7;8;8;10;8;10;9;9;8;12;12;12;14;11;14;6;6;11;8;7;7;10;8;6;5;7;8;8;10;10;14;12;11;2;6;3;13;13;14;14;7;4;11;9
"570";"Vilunda/Korpkulla";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"571";"Norra Bollstanäs";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";13;7;7;7;7;14;7;7;7;7;3;3;3;3;14;14;14;4;14;14;5;14;14;14;4;14;14;14;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;3;8;14;14;14;12;14;3;14;3;14;2;14;14;7;14;14;4;4;4
"572";"Carlslund/Brunnby Park";"Kvinna";"25-34";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";6;9;10;9;4;10;9;6;4;8;4;8;9;12;10;12;8;9;9;10;10;4;11;0;5;8;6;5;14;13;8;10;8;9;13;14;13;8;12;10;8;9;15;5;8;6;8;9;9;9;4;8;5;7;6;11;10;11;4;7;6;3;8
"573";"Södra Bollstanäs";"Kvinna";"45-54";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"Högskola/universitet";"10 år eller mer";7;7;7;10;10;9;11;7;7;7;5;7;9;9;9;7;7;7;8;11;10;10;7;7;7;11;7;7;11;11;7;7;7;11;12;13;7;11;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;9;0;9;8;8;6
"574";"Odenslunda";"Man";"25-34";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";12;3;3;2;2;5;12;13;2;13;4;3;10;13;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;12;7;7;7;7;7;4;0;0;0;0;0;0;0;0;0;11;10;2
"575";"Runby";"Man";"45-54";"Egen företagare";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"576";"Sigma/Apoteksskogen";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";11;11;7;7;7;11;7;7;7;7;3;3;3;11;7;3;11;11;11;11;11;11;3;11;7;3;11;11;11;11;11;11;11;11;3;4;11;11;13;7;11;11;3;11;3;11;11;11;11;11;12;12;2;4;5;10;11;11;10;9;8;8;8
"577";"Dragonvägen";"Kvinna";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";14;9;5;9;11;9;13;5;11;1;1;9;1;11;13;9;13;9;5;8;8;8;8;11;8;9;8;10;13;13;11;10;14;11;13;14;11;11;4;7;11;14;3;10;9;11;11;11;11;14;7;8;8;7;7;8;11;10;13;12;12;6;11
"578";"Sigma/Apoteksskogen";"Kvinna";"25-34";"Student";"Högskola/universitet";"10 år eller mer";10;8;5;9;7;8;8;6;6;5;6;6;8;9;10;6;8;8;6;6;6;6;8;6;5;8;6;6;9;5;6;6;6;8;2;3;10;11;14;10;10;10;12;12;9;12;12;12;12;14;3;4;1;2;1;1;1;1;6;12;4;4;8
"579";"Norra Bollstanäs";"Man";"45-54";"Egen företagare";"Annan eftergymnasial utbildning";"10 år eller mer";11;11;11;11;4;10;10;10;3;10;4;9;10;11;3;4;4;10;4;9;11;11;11;11;11;11;11;11;11;11;11;11;11;11;3;4;11;11;4;11;11;11;3;8;11;8;9;10;11;11;2;3;3;3;3;4;6;6;6;7;9;6;6
"580";"Odenslunda";"Kvinna";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";10;6;8;9;7;13;13;9;8;12;8;9;14;12;13;5;8;8;11;11;10;10;7;7;7;14;12;13;14;14;10;12;13;14;6;7;14;14;15;13;12;13;4;13;3;12;12;12;14;14;6;11;6;9;9;14;14;14;14;9;10;7;9
"581";"Norra Bollstanäs";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;9;8;11;9;10;10;4;4;7;4;4;10;6;10;9;10;11;8;11;10;4;7;7;7;10;6;10;11;11;8;10;10;8;3;4;10;8;15;7;10;10;15;9;7;10;10;8;9;7;6;4;5;6;2;6;6;6;6;2;8;9;9
"582";"Carlslund/Brunnby Park";"Kvinna";"25-34";"Förvärvsarbetande (anställd)";"Grundskola eller motsvarande obligatorisk skola";"5-9 år";14;14;14;14;14;7;7;7;7;7;8;8;2;11;12;14;14;14;14;14;13;13;13;13;13;14;14;14;14;14;14;14;14;14;6;7;11;12;15;14;14;14;6;7;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;4;8;2
"583";"Carlslund/Brunnby Park";"Man";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";3;5;7;8;11;9;5;10;4;11;10;9;8;11;9;9;5;9;8;12;8;10;8;9;6;3;12;9;12;12;8;8;8;8;4;14;12;12;6;12;9;6;10;12;9;9;6;8;9;10;6;12;12;8;8;11;8;12;8;8;2;3;2
"584";"Sjukyrkoberget";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";9;6;10;8;7;10;6;6;4;7;7;7;6;5;10;3;10;7;7;7;8;10;7;4;7;6;6;6;9;7;5;7;11;11;14;13;7;10;14;7;8;8;14;10;3;8;5;8;10;7;2;2;3;3;3;3;3;3;3;2;11;3;3
"585";"Norra Bollstanäs";"Kvinna";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"5-9 år";6;6;9;6;6;5;5;8;5;8;8;6;6;6;8;9;9;8;8;8;8;8;8;8;6;9;8;8;11;11;8;9;10;10;3;3;11;11;3;10;10;10;2;7;7;9;9;9;8;8;0;0;0;2;2;6;5;7;1;5;5;6;5
"586";"Norra Vik";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";11;11;9;10;7;11;10;9;9;10;3;4;10;10;11;10;9;6;7;7;10;10;9;5;7;10;4;8;7;7;10;9;9;9;2;4;11;8;15;6;11;10;13;7;7;11;8;8;8;9;5;6;5;3;4;5;8;8;9;10;5;7;9
"587";"Brunnby-Vik";"Man";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";13;13;13;13;13;14;14;3;3;3;13;3;10;9;9;2;10;10;10;10;6;11;6;11;7;10;6;9;10;10;9;10;10;9;2;14;8;10;3;10;12;12;13;2;2;10;10;10;10;10;3;5;4;7;3;5;7;5;7;5;12;11;11
"588";"Hasselgatan";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";8;8;7;7;7;8;8;7;7;7;9;7;7;7;7;7;7;7;7;7;9;7;7;7;7;7;7;7;7;7;10;7;7;7;12;13;7;7;13;7;10;7;13;7;7;11;7;7;7;7;3;3;1;1;1;2;3;1;2;0;8;8;8
"589";"Smedby 2";"Kvinna";"15-24";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"0-4 år";6;9;5;7;7;13;14;13;3;7;14;14;13;11;14;14;14;14;14;14;14;14;14;14;14;14;5;14;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;14;14;12;0;10;3;14;7;14;5;14;14;14;14;14;14;7;8;6;5
"590";"Ekeby/Sköldnora";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";9;5;9;8;7;9;9;7;7;7;6;9;8;8;7;8;6;6;8;7;7;8;7;8;8;9;8;9;10;10;7;8;7;9;14;15;9;8;3;8;9;11;14;6;7;10;10;8;7;8;7;10;7;8;6;14;9;14;9;6;10;9;5
"591";"Norra Vik";"Man";"65+";"Pensionär";"Inte gått ut grundskola eller motsvarande obligatorisk skola";"10 år eller mer";11;3;11;11;11;11;11;4;3;11;3;3;11;11;11;3;10;11;11;11;11;10;11;11;11;11;11;11;11;11;11;11;11;11;3;5;12;12;5;12;11;12;7;11;3;11;12;11;8;12;3;6;2;6;4;6;7;10;9;8;9;12;5
"592";"Brunnby-Vik";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";12;10;4;9;7;7;7;7;7;7;7;14;5;7;13;8;7;9;11;8;14;9;14;8;11;9;8;14;12;12;11;11;13;10;6;4;12;13;15;13;14;14;4;7;7;13;6;6;6;11;13;5;9;7;12;14;14;14;14;0;4;4;8
"593";"Sigma/Apoteksskogen";"Man";"15-24";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"0-4 år";8;6;6;8;7;9;8;5;6;7;7;6;7;9;9;9;6;8;9;10;9;8;8;6;7;6;9;10;11;12;9;9;11;8;13;14;9;9;15;8;8;7;15;4;7;9;8;8;9;10;2;5;2;8;4;12;11;13;14;9;9;9;7
"594";"Odenslunda";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;5;5;10;10;14;14;7;7;7;7;7;7;7;7;7;7;7;7;7;14;0;7;7;7;7;7;7;7;7;14;14;7;7;12;13;7;7;13;7;14;14;13;0;7;7;7;7;7;7;8;8;2;2;10;8;14;10;14;2;6;11;6
"595";"Sjukyrkoberget";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;14;14;14;14;14;14;14;0;0;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;0;14;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;14;14;14;14;14;14;14;6;6;6;14;6;14;14;14;14;14;4;8;4
"596";"Sjukyrkoberget";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;14;14;14;0;0;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;0;14;14;14;14;14;14;14;6;7;14;14;7;14;14;14;6;14;14;14;14;14;14;14;6;14;6;14;6;14;14;14;14;14;4;8;4
"597";"Södra Bollstanäs";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";13;12;9;9;9;14;14;7;8;3;7;7;7;11;11;11;8;8;11;7;9;6;13;8;10;8;5;9;14;10;9;9;13;8;13;14;14;14;4;7;10;12;2;7;7;10;10;10;10;12;5;8;7;7;5;14;9;14;9;8;4;6;6
"598";"Runby";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";11;11;3;11;11;11;11;11;7;3;11;3;8;8;11;6;7;7;8;11;11;11;11;11;11;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;11;13;7;11;8;11;8;8;11;3;4;2;6;6;1;7;1;6;5;4;4;8
"599";"Smedby 2";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";13;13;12;13;12;14;14;14;14;14;10;8;11;11;12;11;10;11;12;9;12;12;13;13;11;14;9;13;14;12;12;12;11;13;5;7;13;13;4;13;13;13;5;10;12;12;12;13;13;13;14;14;14;14;11;14;14;14;14;14;12;8;8
"600";"Sjukyrkoberget";"Kvinna";"15-24";"Övrigt";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;10;9;9;7;8;6;8;8;9;6;8;9;6;14;8;14;10;8;13;8;6;10;6;9;10;5;8;12;13;9;11;8;8;2;15;13;11;3;10;10;9;9;8;12;8;8;8;8;8;6;11;3;10;8;14;9;12;13;5;8;8;8
"601";"Fresta glesbygd";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";14;7;1;8;10;9;10;8;2;4;3;5;6;12;14;10;9;7;13;12;11;7;8;8;10;6;11;10;14;8;10;9;14;8;4;5;14;9;3;7;13;12;3;7;5;8;13;9;12;10;4;3;2;5;3;12;14;13;8;6;4;11;10
"602";"Vilunda/Korpkulla";"Man";"55-64";"Förvärvsarbetande (anställd)";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";6;7;7;7;7;9;7;7;7;7;4;7;7;7;7;10;7;7;7;7;7;7;7;7;7;4;7;7;7;7;6;7;7;7;12;12;7;7;13;7;7;7;13;7;7;4;7;7;7;7;1;0;0;0;0;0;0;0;0;0;4;8;7
"603";"Vilunda/Korpkulla";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";3;7;7;7;7;6;7;7;7;7;5;7;7;7;7;6;7;7;7;7;5;7;7;7;7;3;7;7;7;7;5;7;7;7;12;11;7;7;13;7;5;7;13;7;7;4;7;7;7;7;4;4;5;5;5;6;6;6;6;6;11;11;10
"604";"Grimstaby";"Man";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"5-9 år";7;14;7;14;7;14;14;14;0;0;4;9;12;14;14;14;14;14;14;14;14;5;5;11;7;14;14;14;14;14;7;14;7;9;6;7;14;14;7;14;14;14;6;3;14;7;7;7;7;7;0;13;10;13;12;14;14;14;11;0;8;5;5
"605";"Vilunda/Korpkulla";"Man";"25-34";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";12;9;6;10;8;7;11;8;9;7;8;5;6;9;11;5;11;8;7;9;10;5;8;9;6;8;6;9;14;14;8;9;10;6;2;14;11;13;7;10;11;8;6;9;7;11;13;14;14;13;7;2;1;6;3;14;8;13;10;12;7;10;7
"606";"Sanda Ängar";"Kvinna";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";14;6;13;11;5;13;11;5;4;1;8;9;9;11;12;8;11;4;9;11;12;8;11;8;13;11;8;11;13;13;9;11;12;14;5;6;11;14;6;11;10;11;5;5;13;12;8;11;12;13;4;6;5;8;10;14;12;14;7;14;12;5;11
"607";"Vilunda/Korpkulla";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";14;0;0;14;7;13;10;0;7;0;9;12;14;14;14;8;9;9;10;10;11;8;8;8;7;13;10;11;14;12;6;10;14;8;6;7;14;13;4;14;14;14;14;14;7;9;8;10;8;11;3;4;4;6;3;7;10;14;14;8;12;6;5
"608";"Vilunda/Korpkulla";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";11;6;6;6;6;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;12;7;11;7;11;7;12;15;9;9;13;7;10;7;13;7;7;7;7;7;7;7;2;4;3;3;4;3;3;12;4;7;8;8;6
"609";"Brunnby-Vik";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;7;8;10;7;11;11;10;7;7;6;8;7;7;7;9;6;7;7;7;11;9;11;7;7;8;6;10;11;11;10;10;11;6;4;4;11;10;14;8;10;11;2;6;6;9;11;10;10;9;0;0;0;0;0;0;0;0;0;0;8;7;7
"610";"Njursta";"Man";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";2;10;8;6;4;10;11;9;6;12;4;5;6;11;10;13;3;6;10;8;10;11;8;9;6;10;6;9;11;8;8;11;9;10;11;12;10;10;15;2;12;11;15;2;10;9;6;9;12;10;13;12;11;5;9;8;7;8;8;6;3;5;3
"611";"Brunnby-Vik";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"612";"Johannesdal";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"613";"Johannesdal";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";9;8;5;8;7;7;7;7;7;7;5;6;8;8;9;9;9;6;8;9;7;5;7;5;7;7;7;8;9;9;7;8;8;9;12;13;8;8;14;8;9;8;13;7;7;8;8;8;9;10;4;2;1;4;2;5;2;5;2;2;11;8;6
"614";"Sjukyrkoberget";"Man";"45-54";"Förvärvsarbetande (anställd)";"Inte gått ut grundskola eller motsvarande obligatorisk skola";"10 år eller mer";14;3;9;4;5;4;5;9;10;3;5;3;9;10;6;4;9;9;8;5;0;2;3;10;3;4;8;5;4;5;5;3;3;0;7;9;2;9;14;3;0;2;8;13;9;11;10;10;0;3;7;4;4;4;14;9;14;14;13;4;4;4;9
"615";"Runby";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;12;3;2
"616";"Hasselgatan";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";10;11;10;10;9;13;11;2;4;2;8;5;10;10;11;9;6;6;9;9;11;12;8;12;10;11;5;10;12;12;8;6;10;11;3;5;12;12;6;14;14;14;6;7;7;14;12;11;11;11;4;8;2;13;13;8;12;13;13;11;11;10;10
"617";"Brunnby-Vik";"Man";"45-54";"Egen företagare";"Högskola/universitet";"10 år eller mer";14;8;9;8;14;9;4;8;10;2;5;8;4;10;2;12;3;9;9;2;14;4;9;9;11;11;5;10;14;9;14;14;14;14;6;15;11;8;2;5;11;14;15;14;3;11;9;8;5;12;5;4;4;7;12;14;14;12;10;6;4;11;9
"618";"Sigma/Apoteksskogen";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";14;0;6;5;11;14;14;10;8;0;10;9;14;13;14;13;8;7;7;7;11;9;9;7;7;7;7;7;7;7;10;13;9;8;11;13;7;7;13;7;7;7;13;7;7;12;11;11;10;12;6;10;7;4;9;10;10;8;4;14;4;6;8
"619";"Södra Bollstanäs";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";13;12;13;14;7;11;8;8;10;13;10;13;12;13;10;3;8;8;10;13;10;8;8;8;7;12;12;11;14;14;8;8;13;9;5;14;14;11;6;6;9;12;14;7;7;8;6;4;6;11;4;2;1;8;1;4;7;6;8;0;2;3;8
"620";"Norra Bollstanäs";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";6;6;12;7;7;10;6;6;8;13;8;13;7;7;7;7;7;7;7;7;9;9;7;7;7;7;6;6;14;9;1;6;3;10;5;7;11;13;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;3;5;3
"621";"Runby";"Man";"45-54";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";13;8;6;6;8;8;8;6;8;0;8;8;6;7;9;4;10;8;10;7;8;10;8;5;10;9;8;9;14;12;6;8;14;11;6;7;13;13;13;10;11;11;14;9;0;10;7;8;9;11;3;7;1;7;10;12;14;14;11;7;4;11;10
"622";"Brunnby-Vik";"Man";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;9;9;9;9;7;9;9;5;9;10;10;10;10;10;14;12;7;9;10;9;8;10;11;7;11;11;11;11;9;7;7;7;7;12;13;9;9;14;7;14;14;4;0;12;7;10;8;8;9;5;5;6;6;6;6;5;7;7;7;5;6;6
"623";"Runby";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;8;7;8;7;10;9;6;8;7;8;8;6;8;9;9;8;8;6;8;10;9;9;9;10;10;6;10;10;10;8;9;8;9;6;7;9;9;15;9;8;9;14;8;6;9;9;10;10;12;5;8;3;4;4;7;8;8;4;8;12;12;3
"624";"Vilunda/Korpkulla";"Kvinna";"55-64";"Pensionär";"Högskola/universitet";"10 år eller mer";11;7;8;11;11;10;10;9;9;5;8;10;8;8;10;10;10;9;12;12;7;7;7;7;7;8;9;11;10;11;10;9;10;8;2;3;11;10;15;9;11;11;3;6;7;9;10;8;8;10;11;11;11;12;11;12;0;0;0;0;12;7;7
"625";"Brunnby-Vik";"Man";"15-24";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";8;6;9;11;8;14;13;11;3;8;10;11;9;13;14;6;8;9;8;13;14;6;12;8;9;5;10;11;14;9;9;14;13;12;12;5;14;13;15;5;11;7;5;0;10;10;6;12;9;14;7;13;6;10;9;11;12;14;8;5;5;2;2
