"Area";"Gender";"Age";"Occupation";"Education level";"Year";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parks and green areas";"Diversity in housing supply";"Invest in public areas";"Communications";"Culture and leisure";"Education";"Care";"School";"Safety";"Ecological sustainability";"Disagreement 1";"Disagreement 2";"Disagreement 3"
"Runby";"Man";"15-24";"Job-seeker";"High school, Nordic folk high school, or equivalent";"5-9 years";14;14;14;14;14;14;10;6;8;9;8;0;10;12;14;14;11;12;12;14;12;13;11;0;14;14;1;11;11;11;14;11;14;10;14;14;9;9;0;5;14;12;8;6;9;0;0;9;14;10;13;11;8;12;9;10;13;11;14;10;4;10;1
"Norra Bollstanäs";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";11;9;1;14;13;10;6;7;9;0;1;4;5;6;10;7;9;3;10;13;14;4;13;6;2;14;10;13;11;10;4;14;6;12;11;8;11;13;9;12;14;13;14;4;4;8;12;10;14;11;1;1;3;4;5;14;11;12;14;0;10;9;8
"Vilunda/Korpkulla";"Woman";"25-34";"Employee";"College/University";"5-9 years";7;8;10;10;14;8;8;8;4;14;7;7;7;7;7;12;12;8;14;14;14;7;7;7;14;14;0;14;14;14;14;14;14;14;14;11;11;14;14;11;14;10;10;0;10;11;11;11;4;7;2;1;4;5;6;8;7;9;10;3;4;5;5
"Runby";"Man";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";14;14;10;14;10;14;14;14;14;7;10;4;8;11;11;13;8;8;13;13;13;13;14;12;12;14;14;14;14;14;11;14;13;14;14;13;14;12;12;14;14;14;13;10;9;14;12;14;12;14;9;10;9;11;9;9;9;9;10;10;8;5;4
"Södra Bollstanäs";"Man";"45-54";"Employee";"College/University";"5-9 years";14;12;6;9;10;10;14;6;7;7;12;11;8;12;11;12;11;12;9;13;11;7;7;7;7;14;3;14;14;14;6;13;7;11;7;12;12;9;5;14;12;13;12;7;7;7;7;7;7;7;5;14;9;4;3;5;3;3;3;3;10;10;10
"Runby";"Man";"65+";"Senior citizen";"Doctorate";"5-9 years";8;8;8;8;8;9;9;7;7;7;5;5;5;8;5;9;7;7;7;7;9;7;7;7;7;7;7;7;7;7;8;8;7;7;7;7;7;7;7;7;8;8;8;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;7;5
"Vilunda/Korpkulla";"Woman";"65+";"Self-employed";"College/University";"5-9 years";11;12;5;12;5;12;12;3;9;3;7;7;7;14;14;14;14;5;14;14;7;13;7;13;7;10;7;14;14;14;14;14;14;14;14;14;14;6;14;7;14;14;7;7;7;14;14;7;14;14;13;10;11;5;6;7;14;13;7;5;10;1;0
"Smedby 2";"Man";"25-34";"Job-seeker";"College/University";"0-4 years";9;5;10;11;7;10;12;7;6;8;8;9;6;5;10;6;11;10;9;8;9;5;8;4;7;9;8;7;12;11;9;8;10;11;13;13;9;10;11;8;10;7;9;5;12;5;3;9;14;12;6;12;8;14;7;13;10;11;9;5;7;7;6
"Fresta glesbygd";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";7;7;7;7;7;6;6;8;7;7;6;6;6;6;7;8;7;7;7;7;9;8;9;8;8;8;8;8;9;9;6;7;7;7;7;8;8;8;8;8;8;8;8;7;7;8;8;8;8;9;2;2;2;2;3;3;3;3;3;3;6;4;5
"Hasselgatan";"Woman";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";13;9;10;10;8;14;11;9;6;4;6;7;6;6;9;8;11;7;9;8;12;8;10;9;9;10;9;8;14;13;8;12;12;10;9;10;14;11;9;8;14;13;8;9;6;7;7;7;7;7;9;8;7;12;12;14;14;14;12;11;10;6;2
"Brunnby-Vik";"Man";"45-54";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";9;9;4;10;9;11;11;8;4;4;6;8;8;10;8;9;13;8;14;14;14;14;14;14;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;8;14;14;14;6;6;8;6;9;12;14;3;5;4;5;14;14;14;14;12;3;7;2;4
"Vilunda/Korpkulla";"Man";"35-44";"Employee";"College/University";"5-9 years";8;8;8;7;7;8;10;7;7;7;7;7;7;7;7;7;7;7;7;9;7;7;7;7;7;7;10;7;10;7;7;7;7;7;7;9;9;9;7;7;7;9;7;7;9;9;7;7;7;10;5;7;1;12;6;9;10;11;8;0;5;1;2
"Vilunda/Korpkulla";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;14;3;14;3;10;10;6;10;6;10;10;10;10;6;10;10;10;10;10;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;7;7;7;7;7;7;7;7;7;7;7;7;3
"Odenslunda";"Man";"55-64";"Employee";"College/University";"10 or more years";10;2;11;3;12;13;10;4;0;12;1;2;6;12;11;7;1;2;14;11;9;14;8;0;2;6;5;3;10;11;5;4;3;2;8;8;9;10;12;11;8;6;5;6;13;8;6;1;5;3;4;10;4;10;7;10;5;10;5;1;2;1;1
"Folkparksområdet";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";14;0;1;0;6;7;9;3;7;0;14;0;6;5;7;10;14;10;5;14;9;4;3;8;8;12;6;9;12;12;7;7;14;4;7;7;7;7;7;7;14;14;9;14;7;14;14;14;14;14;14;0;0;0;0;0;0;0;0;0;10;10;10
"Runby";"Man";"45-54";"Employee";"College/University";"5-9 years";13;4;5;7;9;5;9;8;10;2;3;4;6;7;7;9;9;8;3;5;5;3;10;4;11;8;4;9;10;10;7;7;7;7;7;10;8;5;5;4;5;6;7;9;10;12;11;11;10;7;7;6;8;8;9;9;9;9;5;7;10;8;5
"Carlslund/Brunnby Park";"Man";"35-44";"Senior citizen";"No elementary or equivalent compulsary school";"5-9 years";9;7;7;7;7;8;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;7;7;7
"Odenslunda";"Woman";"45-54";"Employee";"College/University";"5-9 years";14;0;5;2;12;14;9;0;3;4;6;0;3;11;14;9;0;10;5;14;10;0;14;2;6;12;0;6;14;10;0;10;4;12;14;8;11;13;14;4;14;10;4;6;0;6;11;5;14;13;1;2;0;13;12;14;7;14;9;6;10;10;7
"Vilunda/Korpkulla";"Man";"45-54";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";7;5;10;14;14;12;14;4;9;0;4;14;9;14;14;14;14;5;11;9;7;7;7;7;7;14;4;14;14;14;11;10;14;4;7;6;13;13;8;6;14;14;14;6;12;11;11;7;7;7;7;4;7;9;8;11;14;14;14;1;10;5;5
"Hasselgatan";"Man";"55-64";"Employee";"Other post-secondary education";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Skälby";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;9;3;8;12;14;7;8;9;6;14;10;9;7;8;9;9;7;3;10;5;12;5;9;14;14;9;14;11;12;13;14;14;14;14;11;9;10;8;0;13;7;7;13;10;14;2;4;6;6;8;14;6;14;7;6;2;1;5
"Smedby 2";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";9;8;6;9;8;10;9;8;6;6;8;5;8;8;9;8;10;8;10;7;8;8;10;8;10;9;9;8;12;12;12;14;11;14;14;13;11;8;14;7;10;8;14;5;7;8;8;10;10;14;12;11;2;6;3;13;13;14;14;7;10;8;6
"Norra Bollstanäs";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";13;7;7;7;7;14;7;7;7;7;3;3;3;3;14;14;14;4;14;14;5;14;14;14;4;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;3;8;14;14;14;12;14;3;14;3;14;2;14;14;7;14;14;10;10;10
"Carlslund/Brunnby Park";"Woman";"25-34";"Employee";"College/University";"0-4 years";6;9;10;9;4;10;9;6;4;8;4;8;9;12;10;12;8;9;9;10;10;4;11;0;5;8;6;5;14;13;8;10;8;9;8;8;13;8;6;10;8;9;9;5;8;6;8;9;9;9;4;8;5;7;6;11;10;11;4;7;3;1;5
"Södra Bollstanäs";"Woman";"45-54";"Job-seeker";"College/University";"5-9 years";7;7;7;10;10;9;11;7;7;7;5;7;9;9;9;7;7;7;8;11;10;10;7;7;7;11;7;7;11;11;7;7;7;11;7;7;7;11;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;9;0;9;5;5;3
"Odenslunda";"Man";"25-34";"Employee";"College/University";"0-4 years";12;3;3;2;2;5;12;13;2;13;4;3;10;13;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;7;7;7;7;7;4;0;0;0;0;0;0;0;0;0;8;7;0
"Runby";"Man";"45-54";"Self-employed";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Sigma/Apoteksskogen";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";11;11;7;7;7;11;7;7;7;7;3;3;3;11;7;3;11;11;11;11;11;11;3;11;7;3;11;11;11;11;11;11;11;11;11;11;11;11;7;7;11;11;11;11;3;11;11;11;11;11;12;12;2;4;5;10;11;11;10;9;5;5;5
"Dragonvägen";"Woman";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";14;9;5;9;11;9;13;5;11;1;1;9;1;11;13;9;13;9;5;8;8;8;8;11;8;9;8;10;13;13;11;10;14;11;8;8;11;11;11;7;11;14;11;10;9;11;11;11;11;14;7;8;8;7;7;8;11;10;13;12;9;3;8
"Sigma/Apoteksskogen";"Woman";"25-34";"Student";"College/University";"5-9 years";10;8;5;9;7;8;8;6;6;5;6;6;8;9;10;6;8;8;6;6;6;6;8;6;5;8;6;6;9;5;6;6;6;8;10;10;10;11;8;10;10;10;6;12;9;12;12;12;12;14;3;4;1;2;1;1;1;1;6;12;10;10;5
"Norra Bollstanäs";"Man";"45-54";"Self-employed";"Other post-secondary education";"5-9 years";11;11;11;11;4;10;10;10;3;10;4;9;10;11;3;4;4;10;4;9;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;8;11;8;9;10;11;11;2;3;3;3;3;4;6;6;6;7;6;3;3
"Odenslunda";"Woman";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";10;6;8;9;7;13;13;9;8;12;8;9;14;12;13;5;8;8;11;11;10;10;7;7;7;14;12;13;14;14;10;12;13;14;14;14;14;14;9;13;12;13;12;13;3;12;12;12;14;14;6;11;6;9;9;14;14;14;14;9;7;4;6
"Norra Bollstanäs";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";11;9;8;11;9;10;10;4;4;7;4;4;10;6;10;9;10;11;8;11;10;4;7;7;7;10;6;10;11;11;8;10;10;8;11;11;10;8;9;7;10;10;9;9;7;10;10;8;9;7;6;4;5;6;2;6;6;6;6;2;5;6;6
"Carlslund/Brunnby Park";"Woman";"25-34";"Employee";"Elementary school or equivalent compulsory school";"10 or more years";14;14;14;14;14;7;7;7;7;7;8;8;2;11;12;14;14;14;14;14;13;13;13;13;13;14;14;14;14;14;14;14;14;14;14;14;11;12;9;14;14;14;14;7;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;10;5;0
"Carlslund/Brunnby Park";"Man";"45-54";"Employee";"College/University";"0-4 years";3;5;7;8;11;9;5;10;4;11;10;9;8;11;9;9;5;9;8;12;8;10;8;9;6;3;12;9;12;12;8;8;8;8;12;8;12;12;13;12;9;6;5;12;9;9;6;8;9;10;6;12;12;8;8;11;8;12;8;8;0;1;0
"Sjukyrkoberget";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";9;6;10;8;7;10;6;6;4;7;7;7;6;5;10;3;10;7;7;7;8;10;7;4;7;6;6;6;9;7;5;7;11;11;9;7;7;10;8;7;8;8;8;10;3;8;5;8;10;7;2;2;3;3;3;3;3;3;3;2;8;1;1
"Norra Bollstanäs";"Woman";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";6;6;9;6;6;5;5;8;5;8;8;6;6;6;8;9;9;8;8;8;8;8;8;8;6;9;8;8;11;11;8;9;10;10;11;10;11;11;10;10;10;10;10;7;7;9;9;9;8;8;0;0;0;2;2;6;5;7;1;5;2;3;2
"Norra Vik";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";11;11;9;10;7;11;10;9;9;10;3;4;10;10;11;10;9;6;7;7;10;10;9;5;7;10;4;8;7;7;10;9;9;9;10;11;11;8;9;6;11;10;7;7;7;11;8;8;8;9;5;6;5;3;4;5;8;8;9;10;2;4;6
"Brunnby-Vik";"Man";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";13;13;13;13;13;14;14;3;3;3;13;3;10;9;9;2;10;10;10;10;6;11;6;11;7;10;6;9;10;10;9;10;10;9;10;8;8;10;10;10;12;12;7;2;2;10;10;10;10;10;3;5;4;7;3;5;7;5;7;5;9;8;8
"Hasselgatan";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";8;8;7;7;7;8;8;7;7;7;9;7;7;7;7;7;7;7;7;7;9;7;7;7;7;7;7;7;7;7;10;7;7;7;7;7;7;7;7;7;10;7;7;7;7;11;7;7;7;7;3;3;1;1;1;2;3;1;2;0;5;5;5
"Smedby 2";"Woman";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";6;9;5;7;7;13;14;13;3;7;14;14;13;11;14;14;14;14;14;14;14;14;14;14;14;14;5;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;12;0;10;3;14;7;14;5;14;14;14;14;14;14;7;5;3;2
"Ekeby/Sköldnora";"Man";"55-64";"Employee";"College/University";"5-9 years";9;5;9;8;7;9;9;7;7;7;6;9;8;8;7;8;6;6;8;7;7;8;7;8;8;9;8;9;10;10;7;8;7;9;9;9;9;8;10;8;9;11;8;6;7;10;10;8;7;8;7;10;7;8;6;14;9;14;9;6;7;6;2
"Norra Vik";"Man";"65+";"Senior citizen";"No elementary or equivalent compulsary school";"5-9 years";11;3;11;11;11;11;11;4;3;11;3;3;11;11;11;3;10;11;11;11;11;10;11;11;11;11;11;11;11;11;11;11;11;11;11;12;12;12;12;12;11;12;2;11;3;11;12;11;8;12;3;6;2;6;4;6;7;10;9;8;6;9;2
"Brunnby-Vik";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";12;10;4;9;7;7;7;7;7;7;7;14;5;7;13;8;7;9;11;8;14;9;14;8;11;9;8;14;12;12;11;11;13;10;14;11;12;13;9;13;14;14;12;7;7;13;6;6;6;11;13;5;9;7;12;14;14;14;14;0;10;10;5
"Sigma/Apoteksskogen";"Man";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";8;6;6;8;7;9;8;5;6;7;7;6;7;9;9;9;6;8;9;10;9;8;8;6;7;6;9;10;11;12;9;9;11;8;8;8;9;9;9;8;8;7;9;4;7;9;8;8;9;10;2;5;2;8;4;12;11;13;14;9;6;6;4
"Odenslunda";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";14;5;5;10;10;14;14;7;7;7;7;7;7;7;7;7;7;7;7;7;14;0;7;7;7;7;7;7;7;7;14;14;7;7;7;7;7;7;7;7;14;14;7;0;7;7;7;7;7;7;8;8;2;2;10;8;14;10;14;2;3;8;3
"Sjukyrkoberget";"Woman";"55-64";"Employee";"College/University";"5-9 years";14;14;14;14;14;14;14;14;0;0;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;6;6;6;14;6;14;14;14;14;14;10;5;10
"Sjukyrkoberget";"Woman";"55-64";"Employee";"College/University";"5-9 years";7;7;7;7;7;14;14;14;0;0;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;6;14;6;14;6;14;14;14;14;14;10;5;10
"Södra Bollstanäs";"Woman";"45-54";"Employee";"College/University";"5-9 years";13;12;9;9;9;14;14;7;8;3;7;7;7;11;11;11;8;8;11;7;9;6;13;8;10;8;5;9;14;10;9;9;13;8;8;8;14;14;11;7;10;12;10;7;7;10;10;10;10;12;5;8;7;7;5;14;9;14;9;8;10;3;3
"Runby";"Woman";"45-54";"Employee";"College/University";"5-9 years";11;11;3;11;11;11;11;11;7;3;11;3;8;8;11;6;7;7;8;11;11;11;11;11;11;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;11;7;7;11;8;11;8;8;11;3;4;2;6;6;1;7;1;6;5;10;10;5
"Smedby 2";"Woman";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";13;13;12;13;12;14;14;14;14;14;10;8;11;11;12;11;10;11;12;9;12;12;13;13;11;14;9;13;14;12;12;12;11;13;13;14;13;13;11;13;13;13;13;10;12;12;12;13;13;13;14;14;14;14;11;14;14;14;14;14;9;5;5
"Sjukyrkoberget";"Woman";"15-24";"Other";"High school, Nordic folk high school, or equivalent";"5-9 years";6;10;9;9;7;8;6;8;8;9;6;8;9;6;14;8;14;10;8;13;8;6;10;6;9;10;5;8;12;13;9;11;8;8;10;9;13;11;10;10;10;9;4;8;12;8;8;8;8;8;6;11;3;10;8;14;9;12;13;5;5;5;5
"Fresta glesbygd";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;7;1;8;10;9;10;8;2;4;3;5;6;12;14;10;9;7;13;12;11;7;8;8;10;6;11;10;14;8;10;9;14;8;12;12;14;9;10;7;13;12;11;7;5;8;13;9;12;10;4;3;2;5;3;12;14;13;8;6;10;8;7
"Vilunda/Korpkulla";"Man";"55-64";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";6;7;7;7;7;9;7;7;7;7;4;7;7;7;7;10;7;7;7;7;7;7;7;7;7;4;7;7;7;7;6;7;7;7;7;6;7;7;7;7;7;7;7;7;7;4;7;7;7;7;1;0;0;0;0;0;0;0;0;0;10;5;4
"Vilunda/Korpkulla";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";3;7;7;7;7;6;7;7;7;7;5;7;7;7;7;6;7;7;7;7;5;7;7;7;7;3;7;7;7;7;5;7;7;7;7;5;7;7;7;7;5;7;7;7;7;4;7;7;7;7;4;4;5;5;5;6;6;6;6;6;8;8;7
"Grimstaby";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";7;14;7;14;7;14;14;14;0;0;4;9;12;14;14;14;14;14;14;14;14;5;5;11;7;14;14;14;14;14;7;14;7;9;14;14;14;14;14;14;14;14;14;3;14;7;7;7;7;7;0;13;10;13;12;14;14;14;11;0;5;2;2
"Vilunda/Korpkulla";"Man";"25-34";"Employee";"College/University";"0-4 years";12;9;6;10;8;7;11;8;9;7;8;5;6;9;11;5;11;8;7;9;10;5;8;9;6;8;6;9;14;14;8;9;10;6;10;8;11;13;14;10;11;8;14;9;7;11;13;14;14;13;7;2;1;6;3;14;8;13;10;12;4;7;4
"Sanda Ängar";"Woman";"35-44";"Employee";"College/University";"0-4 years";14;6;13;11;5;13;11;5;4;1;8;9;9;11;12;8;11;4;9;11;12;8;11;8;13;11;8;11;13;13;9;11;12;14;13;13;11;14;13;11;10;11;13;5;13;12;8;11;12;13;4;6;5;8;10;14;12;14;7;14;9;2;8
"Vilunda/Korpkulla";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";14;0;0;14;7;13;10;0;7;0;9;12;14;14;14;8;9;9;10;10;11;8;8;8;7;13;10;11;14;12;6;10;14;8;14;14;14;13;11;14;14;14;8;14;7;9;8;10;8;11;3;4;4;6;3;7;10;14;14;8;9;3;2
"Vilunda/Korpkulla";"Woman";"55-64";"Employee";"College/University";"5-9 years";11;6;6;6;6;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;12;7;11;7;11;7;7;9;9;9;7;7;10;7;7;7;7;7;7;7;7;7;2;4;3;3;4;3;3;12;4;7;5;5;3
"Brunnby-Vik";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;7;8;10;7;11;11;10;7;7;6;8;7;7;7;9;6;7;7;7;11;9;11;7;7;8;6;10;11;11;10;10;11;6;12;11;11;10;8;8;10;11;10;6;6;9;11;10;10;9;0;0;0;0;0;0;0;0;0;0;5;4;4
"Njursta";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";2;10;8;6;4;10;11;9;6;12;4;5;6;11;10;13;3;6;10;8;10;11;8;9;6;10;6;9;11;8;8;11;9;10;6;6;10;10;9;2;12;11;9;2;10;9;6;9;12;10;13;12;11;5;9;8;7;8;8;6;1;2;1
"Brunnby-Vik";"Woman";"55-64";"Employee";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Johannesdal";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Johannesdal";"Man";"65+";"Senior citizen";"College/University";"5-9 years";9;8;5;8;7;7;7;7;7;7;5;6;8;8;9;9;9;6;8;9;7;5;7;5;7;7;7;8;9;9;7;8;8;9;7;7;8;8;8;8;9;8;7;7;7;8;8;8;9;10;4;2;1;4;2;5;2;5;2;2;8;5;3
"Sjukyrkoberget";"Man";"45-54";"Employee";"No elementary or equivalent compulsary school";"5-9 years";14;3;9;4;5;4;5;9;10;3;5;3;9;10;6;4;9;9;8;5;0;2;3;10;3;4;8;5;4;5;5;3;3;0;2;3;2;9;8;3;0;2;3;13;9;11;10;10;0;3;7;4;4;4;14;9;14;14;13;4;10;10;6
"Runby";"Woman";"55-64";"Employee";"Other post-secondary education";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;9;1;0
"Hasselgatan";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";10;11;10;10;9;13;11;2;4;2;8;5;10;10;11;9;6;6;9;9;11;12;8;12;10;11;5;10;12;12;8;6;10;11;11;12;12;12;13;14;14;14;14;7;7;14;12;11;11;11;4;8;2;13;13;8;12;13;13;11;8;7;7
"Brunnby-Vik";"Man";"45-54";"Self-employed";"College/University";"5-9 years";14;8;9;8;14;9;4;8;10;2;5;8;4;10;2;12;3;9;9;2;14;4;9;9;11;11;5;10;14;9;14;14;14;14;14;9;11;8;1;5;11;14;9;14;3;11;9;8;5;12;5;4;4;7;12;14;14;12;10;6;10;8;6
"Sigma/Apoteksskogen";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";14;0;6;5;11;14;14;10;8;0;10;9;14;13;14;13;8;7;7;7;11;9;9;7;7;7;7;7;7;7;10;13;9;8;6;7;7;7;7;7;7;7;7;7;7;12;11;11;10;12;6;10;7;4;9;10;10;8;4;14;10;3;5
"Södra Bollstanäs";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";13;12;13;14;7;11;8;8;10;13;10;13;12;13;10;3;8;8;10;13;10;8;8;8;7;12;12;11;14;14;8;8;13;9;13;8;14;11;13;6;9;12;8;7;7;8;6;4;6;11;4;2;1;8;1;4;7;6;8;0;0;1;5
"Norra Bollstanäs";"Man";"35-44";"Employee";"College/University";"5-9 years";6;6;12;7;7;10;6;6;8;13;8;13;7;7;7;7;7;7;7;7;9;9;7;7;7;7;6;6;14;9;1;6;3;10;13;14;11;13;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;1;2;1
"Runby";"Man";"45-54";"Employee";"Other post-secondary education";"5-9 years";13;8;6;6;8;8;8;6;8;0;8;8;6;7;9;4;10;8;10;7;8;10;8;5;10;9;8;9;14;12;6;8;14;11;14;14;13;13;7;10;11;11;8;9;0;10;7;8;9;11;3;7;1;7;10;12;14;14;11;7;10;8;7
"Brunnby-Vik";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";9;9;9;9;9;7;9;9;5;9;10;10;10;10;10;14;12;7;9;10;9;8;10;11;7;11;11;11;11;9;7;7;7;7;7;7;9;9;8;7;14;14;12;0;12;7;10;8;8;9;5;5;6;6;6;6;5;7;7;7;2;3;3
"Runby";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";9;8;7;8;7;10;9;6;8;7;8;8;6;8;9;9;8;8;6;8;10;9;9;9;10;10;6;10;10;10;8;9;8;9;14;14;9;9;9;9;8;9;8;8;6;9;9;10;10;12;5;8;3;4;4;7;8;8;4;8;9;9;1
"Vilunda/Korpkulla";"Woman";"55-64";"Senior citizen";"College/University";"5-9 years";11;7;8;11;11;10;10;9;9;5;8;10;8;8;10;10;10;9;12;12;7;7;7;7;7;8;9;11;10;11;10;9;10;8;10;10;11;10;9;9;11;11;11;6;7;9;10;8;8;10;11;11;11;12;11;12;0;0;0;0;9;4;4
"Brunnby-Vik";"Man";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";8;6;9;11;8;14;13;11;3;8;10;11;9;13;14;6;8;9;8;13;14;6;12;8;9;5;10;11;14;9;9;14;13;12;7;12;14;13;9;5;11;7;13;0;10;10;6;12;9;14;7;13;6;10;9;11;12;14;8;5;2;0;0
"Runby";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";12;7;12;12;12;8;9;9;5;8;9;8;8;10;8;12;11;8;12;14;13;8;10;9;9;13;8;13;14;14;8;12;12;9;9;8;14;14;12;8;14;8;14;8;11;14;9;11;14;13;2;2;3;8;4;8;7;8;8;8;7;4;4
