"Serial";"SID";"Time";"Draft";"IP.Address";"UID";"Username";"X1a..Bevara.existerande.större.grönområden";"X1b..Anlägga.parker.i.existerande.stadsdelar";"X1c..Bygga.bostäder.nära.grönområden";"X1d..Rusta.upp.befintliga.parker";"X1e..Skapa.bättre.tillgänglighet.till.större.grönområden";"X2a..Erbjuda.fler.bostadstyper";"X2b..Erbjuda.fler.lägenhetsstorlekar";"X2c..Erbjuda.småskaligt.markägande";"X2d..Bevara.de.idémässiga.grunderna.för.bebyggelsen.från.1970.talet";"X2e..Erbjuda.fler.bostäder.nära.vatten";"X3a..Blanda.trafikslagen";"X3b..Förlägga.parkering.längs.med.gator";"X3c..Vända.entréer.mot.gator";"X3d..Förlägga.publika.lokaler.i.transparenta.bottenvåningar";"X3e..Trygga.parkeringslösningar.under.bostäder";"X4a..Koppla.ihop.nya.gator.med.befintliga.för.att.stärka.kopplingen.till.intilliggande.stadsdelar.och.minska.barriärerna.som.de.stora.vägarna.utgör.";"X4b..Förbättra.kommunikationerna.nattetid.mellan.olika.delar.av.kommunen";"X4c..Förbättra.kommunikationerna.till.och.från.Uppsala";"X4d..Förbättra.de.nord.sydliga.och.öst.västliga.stråken.via.ett.finmaskigare.och.väl.integrerat.stadsnät.";"X4e..Förbättra.kommunikationerna.till.och.från.Stockholms.innerstad";"X5a..Utöka.utbudet.av.kultur..sport..och.fritidsaktiviteter";"X5b..Skapa.bättre.möjligheter.för.festivaler.och.konserter";"X5c..Skapa.fler.förutsättningar.för.utomhussporter";"X5d..Skapa.marknadsplatser.utomhus";"X5e..Erbjuda.kommunala.bidrag.för.kultur..och.fritidsprojekt";"X6a..Rusta.upp.äldre.skolor";"X6b..Bygg.nya.skolor";"X6c..Förbättra.skolgårdarnas.fysiska.miljöer";"X6d..Höj.kvaliteten.i.grundskolan";"X6e..Höj.kvaliteten.på.gymnasieutbildningarna";"X7a..Fler.kultur..och.fritidsaktiviteter.för.äldre";"X7b..Fler.kultur..och.fritidsaktiviteter.för.barn.och.ungdomar";"X7c..Förbättra.äldreomsorgen.i.kommunen";"X7d..Fler.ungdomsgårdar.och.fältassistenter";"X7e..Minska.barngrupperna.i.förskolan";"X8a..Mindre.barngrupper.i.förskolan";"X8b..Höj.kvaliteten.i.undervisningen";"X8c..Mer.kompetensutveckling.för.skolor.och.lärare";"X8d..Mer.modern.informationsteknologi..IT..i.undervisningen";"X8e..Involvera.vårdnadshavare.mer.i.skolan";"X9a..Öka.tryggheten.kring.stationsområdet";"X9b..Fler.poliser.i.centrala.Väsby";"X9c..Förbättra.belysningen.i.centrala.Väsby";"X9d..Begränsa.öppettider.för.alkoholutskänkning.i.centrala.Väsby";"X9e..Förläng.öppettider.för.affärsverksamhet.i.centrala.Väsby";"X10a..Minska.förbrukningen.av.energi";"X10b..Minska.transporter.och.buller";"X10c..Öka.klimatanpassning.och.kretsloppstänkande";"X10d..Prioritera.miljövänliga.transportsätt..gång..cykel..kollektivtrafik.";"X10e..Minska.miljögifter.och.farliga.kemikalier.i.naturen";"X1..Parker.och.grönområden";"X2..Mångfald.i.bostadsutbudet";"X3..Levandegöra.gemensamma.platser";"X4..Kommunikationer";"X5..Kultur.och.fritid";"X6..Utbildning";"X7..Omsorg";"X8..Skolan";"X9..Trygghet";"X10..Ekologisk.hållbarhet";"X12a..Bygga.bostäder.nära.vatten";"X12b..Bevara.natur.och.strandlinjer.intakta";"X13a..Förtäta.centrum.och.öka.servicen";"X13b..Bevara.grönområden.intakta";"X14a..Utveckla.centrala.Upplands.Väsby";"X14b..Satsa.på.mindre.tätorter.i.kommunen";"Var.bor.du.";"Vilken.är.din.högsta.utbildningsnivå.";"Vilken.är.din.huvudsakliga.sysselsättning.";"Hur.länge.har.du.bott.i.Upplands.Väsby.";"Hur.gammal.är.du.";"Vilket.kön.har.du."
508;596;"01/15/2015 - 21:57";0;0;0;NA;14;5;6;10;7;13;11;9;3;7;4;8;12;11;13;5;11;6;9;7;8;5;9;8;6;9;4;8;11;9;5;12;6;8;"7";"8";13;9;"6";5;10;8;"9";4;6;7;7;7;7;7;4;10;5;9;3;10;8;11;6;1;"8";NA;"7";NA;"4";NA;"Södra Bollstanäs";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Kvinna"
509;597;"01/15/2015 - 22:16";0;0;0;NA;14;8;10;9;14;5;14;5;11;0;14;8;7;13;11;8;14;14;9;14;14;14;14;14;14;14;11;14;14;14;14;14;14;14;"14";"14";14;14;"10";9;0;0;"10";14;8;12;8;14;13;11;8;6;7;13;14;12;9;11;0;10;"10";NA;"10";NA;"8";NA;"Messingen/Optimus";"Gymnasium, folkhögskola eller motsvarande";"Student";"0-4 år";"15-24";"Vill ej uppge"
510;598;"01/15/2015 - 22:25";0;0;0;NA;10;8;8;14;7;9;8;6;10;4;7;8;6;9;13;11;8;2;7;10;9;8;10;6;3;8;5;14;9;8;6;8;9;6;"7";"4";8;9;"6";11;9;6;"5";8;10;9;8;10;8;7;1;0;6;5;3;10;4;10;4;2;"7";NA;"5";NA;"7";NA;"Skälby";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Man"
511;599;"01/15/2015 - 22:35";0;0;0;NA;10;6;11;6;4;13;8;4;0;14;14;7;6;13;8;6;8;14;8;14;14;7;14;7;7;0;14;14;7;7;0;7;7;8;"6";"5";6;8;"8";7;14;8;"8";0;8;14;6;6;10;6;2;14;3;6;14;7;6;9;14;1;"0";NA;"5";NA;"10";NA;"Sanda Ängar";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Man"
512;600;"01/15/2015 - 23:00";0;0;0;NA;10;6;5;8;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;"7";"7";7;7;"7";7;7;7;"7";7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;"5";NA;"5";NA;"5";NA;"Norra Bollstanäs";"Högskola/universitet";"Tjänstledig eller föräldraledig";"10 år eller mer";"25-34";"Kvinna"
513;601;"01/15/2015 - 23:01";0;0;0;NA;8;8;5;9;11;11;10;6;5;4;8;10;8;9;11;10;10;9;10;11;10;5;9;6;11;10;10;9;11;11;11;11;10;9;"9";"9";11;11;"11";11;9;11;"9";11;7;9;11;11;11;11;3;12;3;11;10;13;14;13;14;13;"7";NA;"5";NA;"3";NA;"Odenslunda";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Kvinna"
514;602;"01/15/2015 - 23:10";0;0;0;NA;7;7;7;7;7;9;10;8;6;5;7;7;7;7;7;8;9;6;5;10;8;7;10;12;11;11;6;9;10;8;8;9;11;10;"7";"8";11;12;"6";9;8;7;"9";7;7;8;8;9;10;10;1;2;1;3;2;4;4;4;1;4;"10";NA;"4";NA;"6";NA;"Messingen/Optimus";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"15-24";"Vill ej uppge"
515;603;"01/16/2015 - 00:00";0;0;0;NA;11;9;9;7;7;11;11;9;5;7;3;4;8;7;7;8;11;8;10;7;10;9;8;11;8;11;5;11;11;10;6;6;11;11;"11";"11";10;11;"6";4;9;9;"10";6;3;10;10;10;11;10;9;6;4;5;4;10;12;11;8;10;"9";NA;"9";NA;"7";NA;"Fresta glesbygd";"Gymnasium, folkhögskola eller motsvarande";"Egen företagare";"10 år eller mer";"45-54";"Kvinna"
516;604;"01/16/2015 - 02:17";0;0;0;NA;14;9;2;11;7;11;9;7;7;6;8;7;7;7;10;10;11;7;7;10;10;11;7;8;9;9;5;10;14;12;11;7;14;7;"10";"11";14;9;"7";10;14;12;"6";10;7;11;9;11;11;14;14;6;5;11;4;10;9;10;12;7;"9";NA;"8";NA;"1";NA;"Frestaby";"Gymnasium, folkhögskola eller motsvarande";"Student";"10 år eller mer";"15-24";"Kvinna"
517;605;"01/16/2015 - 05:55";0;0;0;NA;14;7;7;7;7;14;7;7;7;7;7;14;7;7;7;7;7;7;7;14;7;14;7;7;7;14;7;7;7;7;7;7;7;14;"7";"14";7;7;"7";7;7;14;"7";7;7;7;14;7;7;7;0;0;0;14;0;14;0;0;0;0;"10";NA;"0";NA;"5";NA;"Sigma/Apoteksskogen";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"5-9 år";"25-34";"Man"
518;606;"01/16/2015 - 08:32";0;0;0;NA;12;5;3;12;7;8;7;7;1;7;9;8;6;10;10;5;9;9;11;12;8;5;7;2;8;10;1;14;14;7;0;14;8;12;"7";"7";14;7;"7";7;8;14;"7";7;7;7;7;14;7;7;3;0;2;11;10;14;8;14;10;9;"10";NA;"5";NA;"7";NA;"Södra Bollstanäs";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Kvinna"
519;607;"01/16/2015 - 08:37";0;0;0;NA;6;6;9;7;7;10;9;10;5;11;9;8;10;9;7;9;6;6;6;14;8;6;8;6;8;8;8;8;8;9;8;6;9;8;"7";"6";9;10;"6";6;6;8;"9";5;7;8;6;6;8;6;1;2;1;14;1;10;9;11;3;0;"4";NA;"2";NA;"7";NA;"Södra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Man"
520;608;"01/16/2015 - 08:57";0;0;0;NA;12;8;9;8;8;11;11;7;7;7;8;8;6;8;11;10;10;10;11;12;14;11;10;8;9;14;0;14;14;14;8;14;8;14;"11";"11";14;14;"14";14;14;11;"11";9;11;11;11;11;11;11;1;5;1;7;14;14;8;14;14;3;"4";NA;"3";NA;"8";NA;"Ekebo";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Kvinna"
521;609;"01/16/2015 - 09:33";0;0;0;NA;14;9;4;9;8;13;12;9;9;5;6;8;8;9;13;9;9;9;9;7;12;14;13;6;12;14;8;14;14;13;8;13;13;14;"9";"8";14;14;"8";8;9;13;"8";8;8;8;11;8;6;9;4;1;1;1;3;11;12;14;5;6;"10";NA;"6";NA;"3";NA;"Odenslunda";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"35-44";"Kvinna"
522;610;"01/16/2015 - 09:43";0;0;0;NA;11;11;7;7;7;12;12;12;0;7;7;7;7;7;7;6;6;6;6;14;14;6;9;7;7;10;14;10;14;14;7;7;7;7;"7";"14";13;14;"10";9;7;7;"7";7;7;7;7;7;7;7;2;2;1;1;7;14;14;14;1;1;"0";NA;"5";NA;"5";NA;"Södra Bollstanäs";"Annan eftergymnasial utbildning";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
523;611;"01/16/2015 - 10:22";0;0;0;NA;9;9;6;9;6;8;6;8;10;7;8;8;6;8;8;10;6;5;8;8;8;6;8;6;7;8;6;8;8;11;8;8;8;7;"7";"8";9;8;"8";7;6;8;"6";6;8;8;6;6;8;7;1;1;1;1;1;2;2;3;2;1;"7";NA;"4";NA;"6";NA;"Odenslunda";"Annan eftergymnasial utbildning";"Pensionär";"10 år eller mer";"65+";"Man"
524;612;"01/16/2015 - 10:24";0;0;0;NA;9;11;11;11;9;10;9;7;9;2;3;6;6;10;11;11;10;6;11;9;11;5;6;9;9;11;10;10;11;11;11;10;11;10;"10";"10";10;9;"9";9;11;10;"10";7;7;10;10;10;10;9;8;8;8;10;7;6;8;6;9;8;"8";NA;"5";NA;"4";NA;"Dragonvägen";"Grundskola eller motsvarande obligatorisk skola";"Pensionär";"10 år eller mer";"65+";"Kvinna"
525;613;"01/16/2015 - 10:28";0;0;0;NA;11;3;8;9;5;8;8;5;5;10;8;9;8;8;9;7;7;7;7;7;8;8;8;9;6;9;6;9;11;10;9;7;9;8;"10";"9";9;8;"8";4;7;7;"7";7;7;9;8;8;8;10;1;1;2;4;1;5;5;5;6;4;"4";NA;"3";NA;"3";NA;"Vilunda/Korpkulla";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Kvinna"
526;614;"01/16/2015 - 10:31";0;0;0;NA;10;10;3;10;10;11;11;9;11;3;9;11;11;11;11;4;11;11;11;11;9;8;9;9;9;5;10;10;10;10;13;13;13;13;"13";"12";12;12;"12";12;13;13;"13";13;9;14;14;14;14;14;6;11;6;11;11;12;14;12;14;13;"10";NA;"10";NA;"10";NA;"Odenslunda";"Grundskola eller motsvarande obligatorisk skola";"Pensionär";"10 år eller mer";"65+";"Kvinna"
527;615;"01/16/2015 - 10:36";0;0;0;NA;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;"7";"7";7;7;"7";7;7;7;"7";7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;"5";NA;"5";NA;"5";NA;"Södra Bollstanäs";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Kvinna"
528;616;"01/16/2015 - 10:37";0;0;0;NA;11;10;9;10;7;11;11;11;5;7;7;7;7;7;7;6;8;8;12;12;5;6;6;10;7;7;7;7;7;7;7;7;7;7;"7";"7";7;7;"7";7;10;10;"10";7;10;14;14;14;14;14;6;9;6;14;6;5;5;5;6;14;"8";NA;"7";NA;"5";NA;"Carlslund/Brunnby Park";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
529;617;"01/16/2015 - 10:37";0;0;0;NA;11;8;7;8;8;9;9;6;7;4;6;6;9;9;14;7;10;7;10;10;10;8;9;7;9;7;7;9;11;11;9;9;9;9;"9";"9";9;9;"9";9;10;7;"7";7;5;10;10;10;10;10;6;7;6;9;8;10;10;10;9;7;"9";NA;"4";NA;"5";NA;"Grimstaby";"Grundskola eller motsvarande obligatorisk skola";"Pensionär";"10 år eller mer";"65+";"Man"
530;618;"01/16/2015 - 10:47";0;0;0;NA;10;8;5;12;14;8;9;6;5;10;10;6;8;7;11;12;9;8;11;10;10;9;11;8;7;12;7;13;11;10;9;11;10;8;"12";"12";9;8;"10";11;13;12;"11";14;8;9;10;11;12;13;4;0;2;9;1;3;7;5;6;8;"9";NA;"8";NA;"6";NA;"Brunnby-Vik";"Annan eftergymnasial utbildning";"Förvärvsarbetande (anställd)";"5-9 år";"45-54";"Kvinna"
531;619;"01/16/2015 - 11:29";0;0;0;NA;10;9;4;9;8;8;10;10;6;4;9;10;8;10;10;9;9;9;10;9;9;6;11;6;9;11;6;8;9;8;8;8;9;10;"10";"9";9;8;"8";9;9;10;"8";6;6;8;6;6;8;8;1;1;1;2;12;6;6;7;2;1;"6";NA;"6";NA;"6";NA;"Holmen";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Man"
532;620;"01/16/2015 - 11:48";0;0;0;NA;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;11;7;7;7;7;7;7;7;7;7;7;7;7;"7";"7";7;7;"7";7;9;9;"7";7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;"5";NA;"5";NA;"5";NA;"Smedby 2";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Kvinna"
533;621;"01/16/2015 - 11:51";0;0;0;NA;7;7;7;7;7;8;8;8;6;14;8;9;8;8;14;9;9;9;9;14;11;8;8;7;7;12;12;12;12;12;8;9;10;14;"10";"12";12;12;"12";12;14;14;"14";7;7;10;7;7;7;7;3;1;2;7;2;2;7;7;7;2;"0";NA;"6";NA;"5";NA;"Sjukyrkoberget";"Grundskola eller motsvarande obligatorisk skola";"Egen företagare";"10 år eller mer";"55-64";"Man"
534;622;"01/16/2015 - 12:39";0;0;0;NA;10;12;11;9;9;9;9;10;5;11;9;9;9;9;9;7;7;7;7;7;11;7;7;7;7;8;11;9;10;11;14;12;13;9;"9";"12";13;9;"10";7;11;9;"10";7;7;9;7;7;7;7;5;8;6;4;2;4;6;2;2;2;"4";NA;"5";NA;"7";NA;"Norra Bollstanäs";"Högskola/universitet";"Egen företagare";"10 år eller mer";"65+";"Man"
535;623;"01/16/2015 - 12:45";0;0;0;NA;10;8;9;10;10;13;12;7;9;8;4;9;11;11;11;6;11;9;8;7;11;7;9;9;11;8;9;11;11;11;11;8;11;11;"11";"13";14;14;"11";10;14;11;"10";6;7;14;14;14;14;14;7;11;8;12;8;14;14;14;8;9;"5";NA;"5";NA;"5";NA;"Vilunda/Korpkulla";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Kvinna"
536;624;"01/16/2015 - 12:51";0;0;0;NA;13;13;13;13;13;10;10;10;8;10;8;7;7;8;8;10;8;8;8;9;12;8;9;9;11;10;12;11;14;13;9;9;10;11;"14";"14";13;12;"10";9;8;8;"8";5;2;10;12;11;8;9;9;7;8;10;11;13;12;14;8;8;"6";NA;"5";NA;"6";NA;"Norra Bollstanäs";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
537;625;"01/16/2015 - 13:46";0;0;0;NA;11;9;0;12;13;10;6;11;9;0;6;4;9;12;11;12;4;6;9;7;13;8;9;5;7;9;5;10;14;11;10;10;9;6;"10";"8";14;14;"10";11;11;11;"8";5;5;14;6;14;14;14;11;6;1;1;2;14;13;14;10;14;"10";NA;"9";NA;"6";NA;"Odenslunda";"Annan eftergymnasial utbildning";"Förvärvsarbetande (anställd)";"5-9 år";"35-44";"Man"
538;626;"01/16/2015 - 14:08";0;0;0;NA;14;13;7;12;14;14;14;7;7;0;7;12;0;7;12;14;14;14;7;7;14;14;13;12;10;14;12;14;14;14;14;14;14;14;"14";"12";13;11;"11";10;14;14;"14";14;7;14;14;14;14;14;14;10;13;8;12;7;14;7;14;13;"10";NA;"3";NA;"3";NA;"Runby";"Grundskola eller motsvarande obligatorisk skola";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
539;627;"01/16/2015 - 14:40";0;0;0;NA;7;7;7;7;7;14;7;7;7;7;10;7;7;7;7;8;8;8;14;7;11;7;7;7;7;11;7;7;7;7;3;3;4;3;"13";"11";7;7;"7";7;13;13;"10";10;7;8;8;8;3;7;3;5;4;14;1;2;1;2;14;5;"8";NA;"8";NA;"2";NA;"Prästgårdsmarken";"Annan eftergymnasial utbildning";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Kvinna"
540;628;"01/16/2015 - 14:56";0;0;0;NA;10;11;9;11;10;9;9;9;9;7;8;8;8;8;8;8;8;7;7;7;8;8;8;8;8;11;11;13;12;11;8;9;8;8;"11";"13";12;11;"8";9;9;9;"8";8;7;8;8;9;8;11;9;8;8;8;8;10;10;10;7;7;"6";NA;"6";NA;"6";NA;"Sjukyrkoberget";"Högskola/universitet";"Pensionär";"10 år eller mer";"65+";"Kvinna"
541;629;"01/16/2015 - 15:16";0;0;0;NA;12;7;7;7;7;10;7;7;7;7;10;7;7;7;7;13;7;7;7;7;10;7;7;7;7;12;7;7;7;7;14;13;8;7;"7";"14";7;7;"7";7;12;7;"7";7;7;12;7;7;7;7;10;10;10;10;12;9;6;11;10;13;"10";NA;"10";NA;"10";NA;"Folkparksområdet";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"55-64";"Kvinna"
542;630;"01/16/2015 - 15:23";0;0;0;NA;14;10;7;7;7;10;10;7;7;4;7;7;7;7;7;7;7;7;7;7;10;7;10;7;8;10;10;11;11;10;12;12;12;12;"12";"11";11;11;"6";8;8;8;"7";7;7;9;9;9;9;9;8;3;3;6;7;7;8;8;6;4;"8";NA;"8";NA;"5";NA;"Sjukyrkoberget";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
543;631;"01/16/2015 - 15:49";0;0;0;NA;14;14;14;14;14;14;14;14;1;7;9;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;"14";"14";14;14;"14";14;14;14;"14";14;1;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;"10";NA;"10";NA;"7";NA;"Norra Bollstanäs";"Högskola/universitet";"Egen företagare";"10 år eller mer";"55-64";"Kvinna"
544;632;"01/16/2015 - 15:54";0;0;0;NA;13;13;13;14;4;14;4;3;3;14;14;4;14;14;14;13;13;5;14;14;9;11;11;14;14;14;13;14;14;14;9;9;14;12;"14";"14";14;12;"12";13;14;14;"13";5;6;9;9;9;10;12;12;13;13;14;13;14;14;14;14;9;"2";NA;"0";NA;"0";NA;"Stallgatan";"Grundskola eller motsvarande obligatorisk skola";"Pensionär";"10 år eller mer";"65+";"Kvinna"
545;633;"01/16/2015 - 15:59";0;0;0;NA;13;13;13;13;7;11;11;7;7;7;7;7;7;7;7;10;14;14;11;7;13;13;13;13;13;7;7;7;7;7;9;14;14;14;"9";"7";7;7;"7";7;14;14;"14";13;14;14;14;14;14;14;12;11;12;14;13;13;14;14;14;13;"5";NA;"5";NA;"5";NA;"Skälby";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"0-4 år";"45-54";"Kvinna"
546;634;"01/16/2015 - 16:41";0;0;0;NA;8;8;11;7;7;9;9;7;7;7;8;10;8;8;11;9;9;8;8;10;8;8;8;8;10;8;8;8;12;11;11;11;11;8;"11";"11";11;11;"11";11;11;11;"11";8;8;11;11;11;11;11;3;1;1;2;2;2;3;3;3;1;"7";NA;"3";NA;"6";NA;"Grimstaby";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Kvinna"
547;635;"01/16/2015 - 16:49";0;0;0;NA;14;14;9;14;13;14;9;8;9;3;11;3;8;4;10;7;7;7;7;7;14;5;5;8;8;14;2;14;14;14;8;14;14;14;"14";"14";14;14;"14";9;7;9;"7";8;1;8;8;14;14;14;1;1;1;1;1;14;14;14;10;10;"10";NA;"9";NA;"7";NA;"Runby";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Kvinna"
548;636;"01/16/2015 - 17:08";0;0;0;NA;5;8;10;8;7;9;9;10;4;11;8;6;6;9;10;9;8;6;9;7;5;3;8;6;3;9;9;8;10;11;6;8;6;9;"6";"6";11;10;"6";11;8;9;"8";6;6;9;6;10;6;11;1;2;1;1;1;12;4;12;4;12;"0";NA;"5";NA;"7";NA;"Vilunda/Korpkulla";"Högskola/universitet";"Egen företagare";"10 år eller mer";"65+";"Man"
549;637;"01/16/2015 - 17:25";0;0;0;NA;12;10;0;11;11;7;7;7;7;3;7;9;7;7;7;11;8;8;8;6;12;11;8;10;9;7;13;10;10;10;9;8;8;7;"7";"7";7;7;"7";7;12;12;"12";10;11;7;12;7;7;7;0;0;0;0;0;0;0;0;0;0;"7";NA;"5";NA;"0";NA;"Smedby 3";"Gymnasium, folkhögskola eller motsvarande";"Pensionär";"10 år eller mer";"65+";"Man"
550;638;"01/16/2015 - 17:39";0;0;0;NA;14;13;5;9;10;12;11;8;8;6;8;6;6;10;14;14;14;14;12;14;14;14;13;10;12;8;10;11;12;13;14;14;14;14;"12";"12";13;14;"14";13;14;14;"14";9;12;12;12;12;12;12;14;11;12;12;13;12;12;13;14;12;"10";NA;"8";NA;"3";NA;"Runby";"Gymnasium, folkhögskola eller motsvarande";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"10 år eller mer";"25-34";"Vill ej uppge"
551;639;"01/16/2015 - 17:54";0;0;0;NA;14;14;14;14;14;14;10;6;8;9;8;0;10;12;14;14;11;12;12;14;12;13;11;0;14;14;1;11;11;11;14;11;14;10;"14";"14";9;9;"0";5;14;12;"8";6;9;0;0;9;14;10;13;11;8;12;9;10;13;11;14;10;"4";NA;"10";NA;"1";NA;"Runby";"Gymnasium, folkhögskola eller motsvarande";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"10 år eller mer";"15-24";"Man"
552;640;"01/16/2015 - 17:55";0;0;0;NA;11;9;1;14;13;10;6;7;9;0;1;4;5;6;10;7;9;3;10;13;14;4;13;6;2;14;10;13;11;10;4;14;6;12;"11";"8";11;13;"9";12;14;13;"14";4;4;8;12;10;14;11;1;1;3;4;5;14;11;12;14;0;"10";NA;"9";NA;"8";NA;"Norra Bollstanäs";"Gymnasium, folkhögskola eller motsvarande";"Förvärvsarbetande (anställd)";"5-9 år";"35-44";"Man"
553;641;"01/16/2015 - 18:10";0;0;0;NA;7;8;10;10;14;8;8;8;4;14;7;7;7;7;7;12;12;8;14;14;14;7;7;7;14;14;0;14;14;14;14;14;14;14;"14";"11";11;14;"14";11;14;10;"10";0;10;11;11;11;4;7;2;1;4;5;6;8;7;9;10;3;"4";NA;"5";NA;"5";NA;"Vilunda/Korpkulla";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"25-34";"Kvinna"
554;642;"01/16/2015 - 18:38";0;0;0;NA;14;14;10;14;10;14;14;14;14;7;10;4;8;11;11;13;8;8;13;13;13;13;14;12;12;14;14;14;14;14;11;14;13;14;"14";"13";14;12;"12";14;14;14;"13";10;9;14;12;14;12;14;9;10;9;11;9;9;9;9;10;10;"8";NA;"5";NA;"4";NA;"Runby";"Grundskola eller motsvarande obligatorisk skola";"Pensionär";"10 år eller mer";"65+";"Man"
555;643;"01/16/2015 - 18:55";0;0;0;NA;14;12;6;9;10;10;14;6;7;7;12;11;8;12;11;12;11;12;9;13;11;7;7;7;7;14;3;14;14;14;6;13;7;11;"7";"12";12;9;"5";14;12;13;"12";7;7;7;7;7;7;7;5;14;9;4;3;5;3;3;3;3;"10";NA;"10";NA;"10";NA;"Södra Bollstanäs";"Högskola/universitet";"Förvärvsarbetande (anställd)";"10 år eller mer";"45-54";"Man"
556;644;"01/16/2015 - 19:15";0;0;0;NA;8;8;8;8;8;9;9;7;7;7;5;5;5;8;5;9;7;7;7;7;9;7;7;7;7;7;7;7;7;7;8;8;7;7;"7";"7";7;7;"7";7;8;8;"8";7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;"8";NA;"7";NA;"5";NA;"Runby";"Forskarutbildning";"Pensionär";"10 år eller mer";"65+";"Man"
557;645;"01/16/2015 - 19:18";0;0;0;NA;11;12;5;12;5;12;12;3;9;3;7;7;7;14;14;14;14;5;14;14;7;13;7;13;7;10;7;14;14;14;14;14;14;14;"14";"14";14;6;"14";7;14;14;"7";7;7;14;14;7;14;14;13;10;11;5;6;7;14;13;7;5;"10";NA;"1";NA;"0";NA;"Vilunda/Korpkulla";"Högskola/universitet";"Egen företagare";"10 år eller mer";"65+";"Kvinna"
558;646;"01/16/2015 - 20:32";0;0;0;NA;9;5;10;11;7;10;12;7;6;8;8;9;6;5;10;6;11;10;9;8;9;5;8;4;7;9;8;7;12;11;9;8;10;11;"13";"13";9;10;"11";8;10;7;"9";5;12;5;3;9;14;12;6;12;8;14;7;13;10;11;9;5;"7";NA;"7";NA;"6";NA;"Smedby 2";"Högskola/universitet";"Arbetssökande eller i arbetsmarknadspolitisk åtgärd";"0-4 år";"25-34";"Man"
559;647;"01/16/2015 - 21:30";0;0;0;NA;7;7;7;7;7;6;6;8;7;7;6;6;6;6;7;8;7;7;7;7;9;8;9;8;8;8;8;8;9;9;6;7;7;7;"7";"8";8;8;"8";8;8;8;"8";7;7;8;8;8;8;9;2;2;2;2;3;3;3;3;3;3;"6";NA;"4";NA;"5";NA;"Fresta glesbygd";"Annan eftergymnasial utbildning";"Pensionär";"10 år eller mer";"65+";"Man"
